logical_resource,facet,operation,crud,method,path,api_version,preview,introduced,namespace,group,doc
Power Pages Website,"Site admin, security, scanning",Delete Ssl Binding By Thumbprint,Delete,DELETE,/powerpages/environments/{environmentId}/websites/{id}/sslBindings,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/delete-ssl-binding-by-thumbprint.md
Power Pages Website,"Site admin, security, scanning",Delete Website,Delete,DELETE,/powerpages/environments/{environmentId}/websites/{id},2024-10-01,False,,powerpages,websites,docs/powerpages/websites/delete-website.md
Power Pages Website,"Site admin, security, scanning",Get Allowed Ip Addresses,Read (list),GET,/powerpages/environments/{environmentId}/websites/{id}/ipaddressrules,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-allowed-ip-addresses.md
Power Pages Website,"Site admin, security, scanning",Get Certificates By Portal,Read,GET,/powerpages/environments/{environmentId}/websites/{id}/certificates,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-certificates-by-portal.md
Power Pages Website,"Site admin, security, scanning",Get Security Scan Report,Read,GET,/powerpages/environments/{environmentId}/websites/{id}/scan/deep/getLatestCompletedReport,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-security-scan-report.md
Power Pages Website,"Site admin, security, scanning",Get Security Scan Score,Read,GET,/powerpages/environments/{environmentId}/websites/{id}/scan/deep/getSecurityScore,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-security-scan-score.md
Power Pages Website,"Site admin, security, scanning",Get WAF Rules,Read,GET,/powerpages/environments/{environmentId}/websites/{id}/getWafRules,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-waf-rules.md
Power Pages Website,"Site admin, security, scanning",Get WAF Status,Read,GET,/powerpages/environments/{environmentId}/websites/{id}/getWafStatus,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-waf-status.md
Power Pages Website,"Site admin, security, scanning",Get Website By Id,Read,GET,/powerpages/environments/{environmentId}/websites/{id},2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-website-by-id.md
Power Pages Website,"Site admin, security, scanning",Get Websites,Read,GET,/powerpages/environments/{environmentId}/websites,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/get-websites.md
Power Pages Website,"Site admin, security, scanning",List Host Names For Portal,Read (list),GET,/powerpages/environments/{environmentId}/websites/{id}/customDomain,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/list-host-names-for-portal.md
Power Pages Website,"Site admin, security, scanning",List Ssl Bindings By Thumbprints,Read (list),GET,/powerpages/environments/{environmentId}/websites/{id}/sslBindings,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/list-ssl-bindings-by-thumbprints.md
Power Pages Website,"Site admin, security, scanning",Set Portal Bootstrap V5 Enabled,Update,PATCH,/powerpages/environments/{environmentId}/websites/{id}/SetPortalBootstrapV5Enabled,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/set-portal-bootstrap-v5-enabled.md
Power Pages Website,"Site admin, security, scanning",Add Allowed Ip Addresses,Create,POST,/powerpages/environments/{environmentId}/websites/{id}/ipaddressrules,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/add-allowed-ip-addresses.md
Power Pages Website,"Site admin, security, scanning",Add Ssl Binding By Portal,Create,POST,/powerpages/environments/{environmentId}/websites/{id}/sslBindings,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/add-ssl-binding-by-portal.md
Power Pages Website,"Site admin, security, scanning",Convert Trial To Production,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/convertToProduction,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/convert-trial-to-production.md
Power Pages Website,"Site admin, security, scanning",Create Custom Domain,Create,POST,/powerpages/environments/{environmentId}/websites/{id}/customDomain,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/create-custom-domain.md
Power Pages Website,"Site admin, security, scanning",Create Website,Create,POST,/powerpages/environments/{environmentId}/websites,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/create-website.md
Power Pages Website,"Site admin, security, scanning",Disable Waf,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/disableWaf,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/disable-waf.md
Power Pages Website,"Site admin, security, scanning",Enable WAF,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/enableWaf,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/enable-waf.md
Power Pages Website,"Site admin, security, scanning",Remove Allowed Ip Addresses,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/removeAllowedIpAddresses,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/remove-allowed-ip-addresses.md
Power Pages Website,"Site admin, security, scanning",Restart Website,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/restart,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/restart-website.md
Power Pages Website,"Site admin, security, scanning",Set Portal Data Model Version,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/setPortalDataModelVersion,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/set-portal-data-model-version.md
Power Pages Website,"Site admin, security, scanning",Start Deep Scan,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/scan/deep/start,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/start-deep-scan.md
Power Pages Website,"Site admin, security, scanning",Start Quick Scan,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/scan/quick/execute,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/start-quick-scan.md
Power Pages Website,"Site admin, security, scanning",Start Website,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/start,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/start-website.md
Power Pages Website,"Site admin, security, scanning",Stop Website,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/stop,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/stop-website.md
Power Pages Website,"Site admin, security, scanning",Toggle AFD Traffic Routing,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/toggleAFDTrafficRouting,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/toggle-afd-traffic-routing.md
Power Pages Website,"Site admin, security, scanning",Update Portal Security Group,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/updatePortalSecurityGroup,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/update-portal-security-group.md
Power Pages Website,"Site admin, security, scanning",Update Site Visibility,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/updateSiteVisibility,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/update-site-visibility.md
Power Pages Website,"Site admin, security, scanning",Upload Certificate,Action,POST,/powerpages/environments/{environmentId}/websites/{id}/certificates,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/upload-certificate.md
Power Pages Website,"Site admin, security, scanning",Create Waf Rules,Update,PUT,/powerpages/environments/{environmentId}/websites/{id}/createWafRules,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/create-waf-rules.md
Power Pages Website,"Site admin, security, scanning",Delete Waf Custom Rules,Update,PUT,/powerpages/environments/{environmentId}/websites/{id}/deleteWafCustomRules,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/delete-waf-custom-rules.md
Power Pages Website,"Site admin, security, scanning",Update Waf Policy Settings,Update,PUT,/powerpages/environments/{environmentId}/websites/{id}/updateWafPolicySettings,2024-10-01,False,,powerpages,websites,docs/powerpages/websites/update-waf-policy-settings.md
Resource Query,Cross-resource query,Query Resources,Action,POST,/resourcequery/resources/query,2024-10-01,False,,resourcequery,resource-query,docs/resourcequery/resource-query/query-resources.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Delete Environment Group Role Assignment,Delete,DELETE,/authorization/environmentGroups/{environmentGroupId}/roleAssignments/{roleAssignmentId},2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/delete-environment-group-role-assignment.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Delete Environment Role Assignment,Delete,DELETE,/authorization/environments/{environmentId}/roleAssignments/{roleAssignmentId},2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/delete-environment-role-assignment.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Delete Role Assignment,Delete,DELETE,/authorization/roleAssignments/{roleAssignmentId},2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/delete-role-assignment.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",List Environment Group Role Assignments,Read (list),GET,/authorization/environmentGroups/{environmentGroupId}/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/list-environment-group-role-assignments.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",List Environment Role Assignments,Read (list),GET,/authorization/environments/{environmentId}/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/list-environment-role-assignments.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",List Role Assignments,Read (list),GET,/authorization/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/list-role-assignments.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",List Role Definitions,Read (list),GET,/authorization/roleDefinitions,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/list-role-definitions.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Create Environment Group Role Assignment,Create,POST,/authorization/environmentGroups/{environmentGroupId}/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/create-environment-group-role-assignment.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Create Environment Role Assignment,Create,POST,/authorization/environments/{environmentId}/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/create-environment-role-assignment.md
Role Based Access Control,"Assignments and definitions; tenant, environment group and environment scopes",Create Role Assignment,Create,POST,/authorization/roleAssignments,2024-10-01,False,,authorization,role-based-access-control,docs/authorization/role-based-access-control/create-role-assignment.md
Rule Set,Group rule sets,Delete Rule Set,Delete,DELETE,/governance/ruleSets/{ruleSetId},2024-10-01,False,,governance,rule-sets,docs/governance/rule-sets/delete-rule-set.md
Rule Set,Group rule sets,Get Rule Set,Read,GET,/governance/environmentGroups/{groupId}/ruleSets,2024-10-01,False,,governance,rule-sets,docs/governance/rule-sets/get-rule-set.md
Rule Set,Group rule sets,Get Rule Set List For Tenant,Read,GET,/governance/ruleSets,2024-10-01,False,,governance,rule-sets,docs/governance/rule-sets/get-rule-set-list-for-tenant.md
Rule Set,Group rule sets,Create Rule Set,Create,POST,/governance/environmentGroups/{groupId}/ruleSets,2024-10-01,False,,governance,rule-sets,docs/governance/rule-sets/create-rule-set.md
Rule Set,Group rule sets,Update Rule Set,Update,PUT,/governance/ruleSets/{ruleSetId},2024-10-01,False,,governance,rule-sets,docs/governance/rule-sets/update-rule-set.md
Rule-Based Policy,Policy and assignments,Get Rule Based Policy By ID,Read,GET,/governance/ruleBasedPolicies/{policyId},2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/get-rule-based-policy-by-id.md
Rule-Based Policy,Policy and assignments,List Rule Assignments,Read (list),GET,/governance/ruleBasedPolicies/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/list-rule-assignments.md
Rule-Based Policy,Policy and assignments,List Rule Assignments By Environment Group Id,Read (list),GET,/governance/ruleBasedPolicies/environmentGroups/{environmentGroupId}/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/list-rule-assignments-by-environment-group-id.md
Rule-Based Policy,Policy and assignments,List Rule Assignments By Environment Id,Read (list),GET,/governance/ruleBasedPolicies/environments/{environmentId}/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/list-rule-assignments-by-environment-id.md
Rule-Based Policy,Policy and assignments,List Rule Assignments By Policy Id,Read (list),GET,/governance/ruleBasedPolicies/{policyId}/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/list-rule-assignments-by-policy-id.md
Rule-Based Policy,Policy and assignments,List Rule Based Policies,Read (list),GET,/governance/ruleBasedPolicies,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/list-rule-based-policies.md
Rule-Based Policy,Policy and assignments,Patch Rule Based Policy,Update,PATCH,/governance/ruleBasedPolicies/{policyId},2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/patch-rule-based-policy.md
Rule-Based Policy,Policy and assignments,Remove Rule From Rule Based Policy,Update,PATCH,/governance/ruleBasedPolicies/{policyId}/removeRule,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/remove-rule-from-rule-based-policy.md
Rule-Based Policy,Policy and assignments,Create Enviornment Group Rule Based Assignment,Create,POST,/governance/ruleBasedPolicies/{policyId}/environmentGroups/{groupId}/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/create-enviornment-group-rule-based-assignment.md
Rule-Based Policy,Policy and assignments,Create Environment Rule Based Assignment,Create,POST,/governance/ruleBasedPolicies/{policyId}/environments/{environmentId}/assignments,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/create-environment-rule-based-assignment.md
Rule-Based Policy,Policy and assignments,Create Rule Based Policy,Create,POST,/governance/ruleBasedPolicies,2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/create-rule-based-policy.md
Rule-Based Policy,Policy and assignments,Update Rule Based Policy By ID,Update,PUT,/governance/ruleBasedPolicies/{policyId},2024-10-01,False,,governance,rule-based-policies,docs/governance/rule-based-policies/update-rule-based-policy-by-id.md
Tenant Capacity,Capacity,Get Tenant Capacity Details,Read,GET,/licensing/tenantCapacity,2024-10-01,False,,licensing,tenant-capacity-details,docs/licensing/tenant-capacity-details/get-tenant-capacity-details.md
Tenant Capacity,Storage warnings,Get Storage Warning By Category,Read,GET,/licensing/storageWarning/{storageCategory},2024-10-01,False,,licensing,storage-warnings,docs/licensing/storage-warnings/get-storage-warning-by-category.md
Tenant Capacity,Storage warnings,Get Storage Warning By Category And Entity,Read,GET,/licensing/storageWarning/{storageCategory}/{entityName},2024-10-01,False,,licensing,storage-warnings,docs/licensing/storage-warnings/get-storage-warning-by-category-and-entity.md
Tenant Capacity,Storage warnings,List Storage Warnings,Read (list),GET,/licensing/storageWarning/getAllStorageWarnings,2024-10-01,False,,licensing,storage-warnings,docs/licensing/storage-warnings/list-storage-warnings.md
Tenant Capacity,Thresholds,Get All Resource Thresholds,Read (list),GET,/licensing/entitlements/{entitlementId}/resourceThresholds,2024-10-01,False,,licensing,resource-threshold,docs/licensing/resource-threshold/get-all-resource-thresholds.md
Tenant Capacity,Thresholds,Upsert Resource Threshold,Update,PUT,/licensing/environments/{environmentId}/entitlements/{entitlementId}/resources/{resourceId}/threshold,2024-10-01,False,,licensing,resource-threshold,docs/licensing/resource-threshold/upsert-resource-threshold.md
User,Admin user operations,Apply Admin Role,Action,POST,/usermanagement/environments/{environmentId}/user/applyAdminRole,2024-10-01,False,,usermanagement,users,docs/usermanagement/users/apply-admin-role.md
